"№ п/п","Код материалов","Наименование и 
спецификация","Кол-во","Примечание"
"1","1140101478","Прямоугольный 
композитный штуцер","1","EW15LOMDCF"
"2","1140101465","Прямой соединитель","1","GE15LR3/8EDOMDCF"
"3","1040004519","Болт M8×25-8,8","4","JB/T5783-2000"
"4","1040301510","Шайба 8","4","JB/T93-1987"
"5","1040301515","Шайба 8-200HV","4","GB/T97.1-2002"
"6","1010306162","Главный клапан","1",""
"7","1140101462","Прямой соединитель","1","GE12LREDOMDCF"
"8","1140101464","Прямой соединитель","2","GE15LREDOMDCF"
"9","1140102812","Прямой соединитель","2","GE18LREDOMDCF"
"10","1140101523","Прямой соединитель","1","GE20SREDOMDCF"
"11","1140108469","Прямой соединитель","2","GE08LR3/8EDOMDCF"
"12","1140102940","Прямой соединитель","4","GE28LR3/4EDOMDCF"
"13","1140114187","Манометрический 
штуцер","1","SD-M16×2-F-G1/4"""
"14","1140111237","Прямой соединитель","2","GE08LREDOMDCF"
"15","1140101475","Прямоугольный 
композитный штуцер","1","EW08LOMDCF"
