"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"55","1040005847","Болт M16×50-10,9","2","JB/T5783-2000"
"56","1040301510","Шайба 8","2","JB/T93-1987"
"57","00771400800001150","Прокладка Tp2","4",""
"58","00771600800001320","Резиновая накладка T4","1",""
"59","00771400802400000","Опора шкафа электрического
управления II","1",""
"60","00771500800001110","Упорная планка Tp5","1",""
"61","1040302489","Шайба 10-200HV","16","GB/T97.1-2002"
"62","00771500800001060","Монтажная рама радиатора Tp4","1",""
"63","1040004518","Болт M8×20-8,8","5","JB/T5783-2000"
"64","1040201089","Гайка M8-8","2","JB/T6170-2000"
"65","00771400800001160","Резиновая накладка шкафа
электрического управления T3","2",""
"66","1040302492","Шайба 16-200HV","5","GB/T97.1-2002"
"67","00771500801000000","Опора шкафа электрического
управления","1",""
"68","00771500800001100","Тяга IIL75×75×6","1",""
"69","00771500800400000","Кронштейн масляного бака","1",""
"70","1040002447","Болт M16×45-8,8","2","JB/T5783-2000"
"71","1040200161","Гайка M16 -8","4","JB/T889-1986"
"72","1040002436","Болт M12×25-8,8","2","JB/T5783-2000"
"73","1040301031","Шайба 12-300HV","2","GB/T96.1-2002"
"74","00771500800001070","Упорная планка капота Tp5","1",""
"75","1040200113","Гайка M10-8","2","JB/T6170-2000"
"76","00771500800001090","Тяга IL75×75×6","1",""
"77","00771500800001050","Крепежная плита вращающегося
соединения Tp10","1",""
"78","1040002450","Болт M16×80-8,8","1","JB/T5783-2000"
"79","1040201882","Гайка M10","1","JB/T6172-2000"
"80","00771400800001170","Кожух шестерни Tp2","1",""
"81","1040002434","Болт M10×25-8.8","7","JB/T5783-2000"
