"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1030800591","Редуктор","2",""
"2","00771402810600000","Тележка","2",""
"3","00771402800001040","Штифт","2",""
"4","00773400300001200","Стопорный штифт","4",""
"5","1040004565","Болт M10×30-8.8","4","JB/T5783-2016"
"6","00771402810001040","Крышка","4",""
"7","1040002436","Болт M12×25-8,8","16","JB/T5783-2000"
"8","1040302490","Шайба 12-200HV","16","GB/T97.1-2002"
"9","00771402810001030","Штифт","4",""
"10","00771402810001010","Прокладка","4",""
"11","00771402810001020","Самосмазывающийся подшипник","4",""
"12","00771402800001020","Штифт","2",""
"13","1040102737","Винт M8×30-8,8","4","GB/T70.1-2000"
"14","00771402800001120","блок","2",""
"15","00771402800001230","Самосмазывающийся подшипник","4",""
"16","00771402801400000","Гидроцилиндр рулевого
управления","2",""
"17","00771402800800000","Рулевой привод","1",""
"18","00771402800001150","Самосмазывающийся подшипник","2",""
"19","00771402810400000","Сварка вала колеса","1",""
