"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"33","00771400800001090","Изогнутая пластинкаTp5","1",""
"34","1040004519","Болт M8×25-8.8","4","JB/T5783-2000"
"35","1040201865","Гайка M6-8","2","JB/T6170-2000"
"36","1040001631","Болт M6×20-A2-70","10","JB/T5783-2000"
"37","00771100800001120","Опора электрического выключателя","1",""
"38","00771400800001190","Опора для установки выключателя
питанияTp5","1",""
"39","00771400800001050","Тягаφ10","2",""
"40","00771100800401030","Опора аккумулятора ITp6","1",""
"41","00771400801400000","Опора батареи","1",""
"42","1040200504","Гайка M10-8","4","GB/T889.1-2000"
"43","00771600800001040","Упорная втулка IOw88×3*","1",""
"44","00771600800600000","Цилиндр подъема вылета","1",""
"45","1040103205","Винт M12×100-8.8","1",""
"46","00771400800001010","Стопорный штифт поворотной платформы
Φ35*","1",""
"47","00771600800001020","Распорный вкладыш T37*","1",""
"48","1040301502","Шайба 10","4","JB/T93-1987"
"49","1040004565","Болт M10×30-8,8-DKL","10","JB/T5783-2016"
"50","00771600800001200","Соединительная плита панели заглушки
VTp5","1",""
"51","00771500800001020","Дождевой щиток аккумуляторной батареи
Tp1","1",""
"52","00771600800001190","Соединительная плита панели заглушки
IVTp5","1",""
"53","1040002738","Болт M6×12-A2-70","10","JB/T5783-2000"
"54","1040300735","Шайба 6-200HV","20","GB/T96.1-2002"
