"Item","Part No.","Description","Qty."
"1","00002884","Bolt  GB/T 16674  M10×100","2"
"2","10000252","Platform slider","4"
"3","00002572","Nut  GB/T 6183.1  M10","18"
"4","00000439","8813-38.1×44.45×50.8  Bearing","6"
"5","10000767","Outer arm 6","1"
"6","10000769","Inner arm 6","1"
"7","00002891","Bolt  GB/T 16674  M10×110","2"
"8","10000771","Cable bridge","2"
"9","00001027","Bolt  GB/T 5782  M10×80","23"
"10","00000623","Nut  GB/T 6182  M10","23"
"11","10000770","Cable bridge","1"
"12","00000568","898-38.1×638.5  Pin","12"
"13","00000565","898-38.1×199.5  Pin","4"
"14","10000256","Spacer sleeve","4"
"15","00000822","Screw  GB/T 70.3  M5×16","7"
"16","10011770","Collar","7"
"17","10028352","Inner arm 3","1"
"18","10000758","Outer arm 2-3","3"
"--","10014911","Left single link","1"
"--","10014910","Right single link","1"
"19","10014457","Inner arm 2","1"
"20","10000255","Chassis slider","2"
"21","00002096","896B-38.1×25A  Pin (JCPT1612HA/AC)","2"
"","00002097","896B-38.1×25B  Pin (JCPT1614HA/AC)","2"
"22","10000425","Hydraulic hoses manifolds","1"
"23","00000832","Screw  GB/T 70.3  M6×25","2"
"24","10000085","Hose (to upper lift cylinder)","1"
"25","10001172","Hose (to tank)","1"
"26","10000084","Hose (to lower lift cylinder)","1"
