"Item","Part No.","Description","Qty."
"1","00003017","Nut","4"
"2","00006793","Coil","4"
"3","00003003","Solenoid valve spool (SV2)","1"
"4","00006792","Relief valve (RV2)","1"
"5","00010535","Relief valve (RV1)","1"
"6","00002999","Plug  SAE2","24"
"7","00006934","Orifice  M6_Φ0.8","1"
"8","00001835","Elbow","2"
"9","00001264","Straight fitting","2"
"10","00006790","Valve body","1"
"11","00001291","Straight fitting","5"
"12","00001073","Plug  VSTI14×1.5ED","1"
"13","00001282","Straight fitting","3"
"14","00006935","Orifice  M6_Φ1.3","2"
"15","00002997","Plug  SAE3","11"
"16","00003361","Plug  SAE6","2"
"17","10000404","Check valve (CV1)","1"
"18","00003011","Solenoid valve spool (SV4)","1"
"19","00003010","Solenoid valve spool (SV3)","1"
"20","00007654","Relief valve (RV3)","1"
"21","00008022","Counterbalance valve spool (CB1)","1"
"22","00006770","Coil","2"
"23","00006789","Solenoid valve spool (SV1)","1"
"24","00011199","Lock sheet","1"
"--","00005240","Screw  GB/T 70.1  M5×8","1"
"24","00008822","Lock sheet","1"
"--","00008823","Screw  GB/T 818  M6×8 - H","1"
"25","00006785","Flow control valve (EC1)","1"
"26","00006786","Check valve (CV2)","1"
