"Item","Part No.","Description","Qty."
"26","10000425","Hydraulic hoses manifolds","1"
"27","00000832","Screw  GB/T 70.3  M6×25","2"
"28","10000085","Hose (to upper lift cylinder)","1"
"29","10001171","Hose (to tank)","1"
"30","10000402","Hose (to lower lift cylinder)","1"
"31","00005412","Bolt  GB/T 16674  M10×45","1"
"32","10000265","Pothole pusher","2"
"33","00002877","Bolt  QC/T 340  M10×35","7"
"34","00000596","895-38.1×236  Pin","1"
"35","10000278","Outer arm 1","1"
"36","00000566","898-38.1×206.5  Pin","4"
"37","00000438","8813-38.1×44.45×31.75  Bearing","46"
"38","10000257","Spacer sleeve","4"
"39","10000254","Washer","20"
"40","00000787","Circlips 
JB/ZQ 4342-38","23"
"41","10019581","Inner arm 1","1"
"42","10002371","Pin","1"
"43","00000539","Hose clamp","2"
"44","10000047","Base plate","2"
"45","00002575","Nut  GB/T 6183.1  M8","2"
"46","00002089","Bolt  GB/T 5782  M8×50","2"
"47","","Lower lift cylinder assembly (without seal kit) (refer to 
401.1)","1"
"48","10000260","Safety arm bushing","4"
"49","10000259","Safety arm","4"
"50","00005263","Bolt  QC/T 340  M10×30","6"
"51","10011841","Cable bridge","1"
"52","10011771","Clamp","9"
"53","","Upper lift cylinder assembly (without seal kit) (refer to 
402.1)","1"
