"Item","Part No.","Description","Qty."
"28","10000265","Pothole pusher","2"
"29","00000596","895-38.1×236  Pin","1"
"30","00000220","8902-10080  Pin","4"
"31","00005412","Bolt  GB/T 16674  M10×45","1"
"32","10000278","Outer arm 1","1"
"33","00000787","Circlips 
JB/ZQ 4342-38","20"
"34","00000566","898-38.1×206.5  Pin","4"
"35","10000257","Spacer sleeve","4"
"36","10014454","Cable bridge","2"
"37","10011771","Clamp","7"
"38","00000438","8813-38.1×44.45×31.75  Bearing","40"
"39","10000254","Washer","17"
"40","10019581","Inner arm 1","1"
"41","10002371","Pin","1"
"42","00008962","Hose clamp","2"
"43","10000047","Base plate","2"
"44","00002575","Nut  GB/T 6183.1  M8","2"
"45","00002089","Bolt  GB/T 5782  M8×50","2"
"46","","Lower lift cylinder assembly (without seal kit) (refer to 
401.1)","1"
"47","10000260","Safety arm bushing","4"
"48","10000259","Safety arm","4"
"49","00005263","Bolt  QC/T 340  M10×30","6"
"50","10000286","Inner arm 3","1"
"51","","Upper lift cylinder assembly (without seal kit) (refer to 
402.1)","1"
"52","10000291","Inner arm 4","1"
"53","10000735","Inner arm 3","1"
"54","10000736","Outer arm 3","1"
"--","10014904","Left single link","1"
