"Item","Part No.","Description","Qty."
"1","10002775","Outrigger housing","2"
"2","10002777","Cover","2"
"3","10002776","Cover","2"
"4","00000876","Screw  GB/T 70.1  M6×16","16"
"5","00000621","Washer  GB/T 93  6","16"
"6","00000620","Washer  GB/T 97.1  6","4"
"7","10002779","Switch bracket","2"
"8","00000620","Washer  GB/T 97.1  6","12"
"9","00000750","Limit switch","2"
"10","00000684","Bolt  GB/T 5783  M10×35","2"
"11","00000615","Washer  GB/T 97.1  10","2"
"12","00000623","Nut  GB/T 6182  M10","2"
"13","10004260","Bubble level cover","1"
"14","00002336","Screw  GB/T 819  M5×14 - H","3"
"15","10004259","Bubble level","1"
"16","10004271","Rubber pad","1"
"17","10003797","Bubble level mount plate","1"
"18","10002772","Outrigger yoke","1"
"19","","Outrigger cylinder assembly (without seal kit) 
(refer to 406.1)","2"
"20","10002778","Screw","8"
"21","00001249","Nut  GB/T 6182  M12","8"
"22","00000814","Washer  GB/T 97.1  12","8"
"23","00000674","Bolt  GB/T 5783  M10×20","8"
"24","00000679","Washer  GB/T 93  10","8"
"25","00000615","Washer  GB/T 97.1  10","8"
"26","00001063","Bolt  GB/T 5783  M8×16","12"
"27","00000609","Washer  GB/T 93  8","12"
"28","00000608","Washer  GB/T 97.1  8","12"
