"Item","Part No.","Description","Qty."
"1","00003288","Drive manifold (refer to 408.1)","1"
"2","00001266","Straight fitting","6"
"3","00001262","Straight fitting","8"
"4","00001028","Washer  GB/T 96.1  10","4"
"5","00000679","Washer  GB/T 93  10","4"
"6","00000678","Bolt  GB/T 5783  M10×25","4"
"7","10002759","Drive manifold bracket","1"
"8","00000875","Bolt  GB/T 5783  M8×20","3"
"9","00000609","Washer  GB/T 93  8","3"
"10","00000608","Washer  GB/T 97.1  8","3"
"11","00001834","Elbow","1"
"12","00003366","Outrigger manifold","1"
"13","00001282","Straight fitting","2"
