"Item","Part No.","Description","Qty."
"1","10002681","Right door","1"
"2","10002798","Latch","1"
"3","00000612","Screw  GB/T 818  M5×20 - H","4"
"4","00000606","Washer  GB/T 93  5","4"
"5","00000605","Washer  GB/T 97.1  5","4"
"6","","Engine tray assembly (refer to 117.1)","1"
"7","00001163","Nut  GB/T 6182  M8","10"
"8","10002691","Gas shock bracket","1"
"9","00000993","Bolt  GB/T 5783  M8×25","6"
"10","10002659","Gas shock","2"
"11","10002692","Gas shock bracket","1"
"12","0000608","Washer  GB/T 97.1  8","12"
"13","00001986","Screw  GB/T 818  M6×16 - H","34"
"14","00001033","Nut  GB/T 6182  M6","34"
"15","00000620","Washer  GB/T 97.1  6","34"
"16","10004994","Hinge","1"
