"Item","Part Number","Description","Qty.","Remark"
"1","50011880","Turntable","1",""
"2","00001240","Fitting, Tee","3",""
"3","00001835","Fitting, 90°","3",""
"4","00000875","Bolt  GB/T 5783  M8 × 20","2",""
"5","00000609","Spring Washer  GB/T 93  8","2",""
"6","00000608","Flat Washer  GB/T 97.1  8","2",""
"7","00000684","Bolt  GB/T 5783  M10 × 35","2",""
"8","00000679","Spring Washer  GB/T 93  10","2",""
"9","00000615","Flat Washer  GB/T 97.1  10","4",""
"10","50011891","Hose Assembly","1",""
"11","00001506","Fitting, Straight","3",""
"12","00001508","Fitting, Straight","2",""
"13","50011890","Hose Assembly","1",""
"14","50011889","Hose Assembly","1",""
"15","00008004","Hydraulic Generator (5kW/110V)","1","Option 1"
"","00008094","Hydraulic Generator (5kW/220V)","1","Option 2"
"16","00000816","Bolt  GB/T 5783  M12 × 25","4",""
"17","00000815","Spring Washer  GB/T 93  12","4",""
"18","00000814","Flat Washer  GB/T 97.1  12","4",""
"19","00009115","Bolt  GB/T 5783  M16 × 35","4",""
"20","00001035","Spring Washer  GB/T 93  16","4",""
"21","00000997","Flat Washer  GB/T 97.1  16","4",""
"22","50011882","Bracket","1",""
"23","00001316","Fitting, Straight","1",""
"24","00008095","Control Valve Block (Refer to 9-4)","1",""
"25","00000623","Nut  GB/T 6182  M10","2",""
"26","50011283","Bracket","1",""
"27","50011888","Hose Assembly","1",""
"28","00001832","Fitting, 90°","1",""
