"Item","Part Number","Description","Qty.","Remark"
"--","00008472","SAE Flange Fitting FL-16","1",""
"--","93305786","Spring Washer Ф10.2","4",""
"--","00001059","Screw  GB/T 70  M10 × 30","4",""
"30","50011264","Hose Assembly","1",""
"31","00002135","Fitting, Straight, Bulkhead","4",""
"32","50011256","Hose Assembly","1","BA44RT"
"","50011796","Hose Assembly","1","BA41RT"
"","50011811","Hose Assembly","1","BA36RT"
"33","50011103","Hose Assembly, Tube","1","BA44RT 
BA41RT"
"","50011537","Hose Assembly, Tube","1","BA36RT"
"34","50011217","Hose Assembly","1","BA44RT 
BA41RT"
"","50011806","Hose Assembly","1","BA36RT"
"35","50011207","Hose Assembly","1",""
"36","00001832","Fitting, 90°","3",""
"37","00001315","Fitting, Straight","2",""
"38","90003092","Check Valve","2",""
"39","00003088","Fitting, Straight","1",""
"40","00001834","Fitting, 90°","3",""
"41","00001239","Fitting, Tee","3",""
"42","93300770","Check Valve","2",""
"43","93200292","Hose Assembly, Tube","1",""
"44","00001501","Fitting, Straight","1",""
"45","00006048","Fitting, Banjo","2",""
"46","93200293","Hose Assembly, Tube","1",""
"47","50011191","Hose Assembly","1",""
"48","00010727","Fitting, Straight","2",""
"49","93200059","Vlave, Ball","1",""
"50","00005615","Fitting, Straight","1",""
