"Item","Part Number","Description","Qty.","Remark"
"1","92000139","Insert","12",""
"2","92009458","Plug","28",""
"3","92000143","Sliding Block","6",""
"4","92029615","Shim","18",""
"5","92000169","Insert","4",""
"6","50010555","Sliding Block","1",""
"7","50010554","Shim","3",""
"8","00006121","Bolt  GB/T 5786  M12×1.25 × 25","4",""
"9","00000815","Spring Washer  GB/T 93  12","4",""
"10","00000814","Flat Washer  GB/T 97.1  12","4",""
"11","00000683","Bolt  GB/T 5783  M10 × 30","12",""
"12","00000679","Spring Washer  GB/T 93  10","12",""
"13","00000615","Flat Washer  GB/T 97.1  10","12",""
"14","50011559","Bracket","1",""
