"Item","Part Number","Description","Qty.","Remark"
"17","00009738","Tower Boom Harness","1","BA18CERT2"
"","00009733","Tower Boom Harness","1","BA20CERT2"
"","00010267","Tower Boom Harness","1","BA22CERT2"
"18","00008113","PVG-1939 CANBUS Resistance","1","Standard"
"","00008114","PVG-1939 Harness","4",""
"","00008115","PVG-1939 Power Harness","1",""
"","00011217","PVG Valve Harness","","Optional"
"19","00009610","Main Boom Harness","1","BA16CERT2"
"","00009739","Main Boom Harness","1","BA18CERT2"
"","00009734","Main Boom Harness","1","BA20CERT2"
"","00010268","Main Boom Harness","1","BA22CERT2"
"20","00010265","Jib Harness","1",""
"21","00011787","Platform Harness","1",""
"--","00011895","Load Sensor Harness","1",""
"22","00011786","Platform Control Box Harness","1",""
