"Item","Part Number","Description","Qty.","Remark"
"1","00001249","Nut  GB/T 6182  M12","1",""
"2","00000814","Flat Washer  GB/T 97.1  12","3",""
"3","50009103","Pin, Pivot","1",""
"4","00002182","Screw  GB/T 70  M12 × 90","1",""
"5","50007717","Shim","6",""
"6","50007716","Shim","6",""
"7","00009802","8812-354030 Sleeve Bearing","2",""
"8","00001252","Screw  GB/T 70  M5 × 12","4",""
"9","00001054","Screw  GB/T 70  M4 × 12","2",""
"10","00000778","Flat Washer  GB/T 97.1  4","2",""
"11","50009104","Housing","1",""
"12","00000644","Sensor,Rotary","1",""
"13","50009105","Plate","1",""
"14","00000416","8813-354535 Sleeve Bearing","4",""
"15","50009107","Cover","1",""
"16","00005240","Screw  GB/T 70  M5 × 8","4",""
"17","00010232","897-35330 Pin, Pivot","1",""
"18","00000683","Bolt  GB/T 5783  M10 × 30","2",""
"19","00000679","Spring Washer  GB/T 93  10","2",""
"20","00000615","Flat Washer  GB/T 97.1  10","2",""
"21","00000220","8902-10080 Pin, Lock","2",""
"22","50007692","Linker, Lower","2",""
"23","","JIB Lifting Cylinder Assembly (Refer to 
5-7)","1",""
"24","00002059","Bolt  GB/T 5783  M12 × 30","1",""
"25","00000815","Spring Washer  GB/T 93  12","1",""
"26","00011946","895-35110 Pin, Pivot","1",""
"27","00002464","8902-12085 Pin, Lock","1",""
"28","50010148","Linker, Upper","1",""
