"Item","Part Number","Description","Qty.","Remark"
"1","00004922","Fitting, 90°","2",""
"2","92030383","Hose Assembly","1",""
"3","00001239","Fitting, Tee","1",""
"4","50005178","Hose Assembly","2",""
"5","50008453","Hose Assembly","1",""
"6","00001266","Fitting, Straight","5",""
"7","00001282","Fitting, Straight","4",""
"8","00001291","Fitting, Straight","2",""
"9","50008452","Hose Assembly","2",""
"10","00002946","Fitting, Straight","2",""
"11","50008454","Hose Assembly","1",""
"12","00002945","Fitting, Straight","1",""
"13","50008662","Hose Assembly","1",""
"14","00001842","Fitting, 90°","3",""
"15","00003696","Fitting, Straight","2",""
"16","00003963","Fitting, Straight","2",""
"17","50008582","Hose Assembly","1",""
"18","00001262","Fitting, Straight","1",""
"19","00001835","Fitting, 90°","2",""
"20","00001240","Fitting, Tee","3",""
"21","00003843","Fitting, Straight","2",""
"22","00001237","Fitting, Tee","2",""
"23","00005208","Fitting, Straight","2",""
"24","50008455","Hose Assembly","1",""
"25","00005693","Fitting, Straight","2",""
"26","00003864","Check Valve","1",""
"27","50004572","Hose Assembly","1",""
"28","00002070","Fitting, Straight","1",""
"29","00002123","Fitting, Tee","1",""
