"Item","Part Number","Description","Qty.","Remark"
"1","00001161","Bolt  GB/T 5783  M16 × 40","2",""
"2","00001035","Spring Washer  GB/T 93  16","2",""
"3","00000997","Flat Washer  GB/T 97.1  16","2",""
"4","00000222","8902-16095 Pin, Lock","2",""
"5","00010242","895-50560 Pin, Pivot","1",""
"6","92029593","Shim","4",""
"7","92029594","Shim","4",""
"8","00000428","8813-506060 Sleeve Bearing","4",""
"9","50008166","Crank Arm 2","1","BA22CERT2 
BA20CERT2 
BA18CERT2"
"","50008358","Crank Arm 2","1","BA16CERT2"
"10","00001026","Bolt  GB/T 5782  M8 × 80","2",""
"11","00000609","Spring Washer  GB/T 93  8","2",""
"12","00000608","Flat Washer  GB/T 97.1  8","4",""
"13","00000538","Clamp","1",""
"14","00000539","Clamp","3",""
"15","10000047","Plate, Clamp","2",""
"16","00000994","Nut  GB/T 889.1  M8","2",""
"17","50008096","Cage, Connection","1",""
"18","00010241","895-50388 Pin, Pivot","1",""
