"Item","Part Number","Description","Qty.","Remark"
"1","92100897","Bracket","1",""
"2","00007339","IOT Module","1",""
"3","00001061","Screw  GB/T 70  M8 × 20","4",""
"4","00000609","Spring Washer  GB/T 93  8","4",""
"5","00000608","Flat Washer  GB/T 97.1  8","4",""
"6","00000774","Screw  GB/T 70  M6 × 20","2",""
"7","00000621","Spring Washer  GB/T 93  6","5",""
"8","00000620","Flat Washer  GB/T 97.1  6","5",""
"9","00000818","Bolt  GB/T 5783  M6 × 16","3",""
"10","92100896","Cover","1",""
"11","00007340","GPS Antenna","1",""
