"NO.","Material  No.","Item  and  Spec","Units","Remark"
"1","1990201051","Clamp  φ60-φ80","6",""
"2","00775300310001090","Nylon cover II","12",""
"3","00775300310001070","End pipe trunking II","2",""
"4","1089900652","Sealing strip16×3","6",""
"5","1040000114","Bolt M10×25-8.8","2","GB/T5782-2000"
"6","00775300310001050","Support rod","2",""
"7","00775300310001040","Nylon cover I","2",""
"8","1040200504","Nut M10-8","2","GB/T889.1-2000"
"9","1054400336","Composite bush 38×32×30","4",""
"10","1010201474","Hydraulic  cylinder","1",""
"11","1040300051","Washer 6","5","GB/T97.1-2002"
"12","1040300062","Washer 6","3","GB/T93-1987"
"13","1040100127","Hexagon screw M6×12","3","GB/T70.1-2000"
"14","00775605200401010","Upper stay wire  bracket","1",""
"15","00775605200401020","Stay wire  lever","1",""
"16","1040100055","Screw  M6×20-8.8","1","GB/T70.1-2000"
"17","1040200506","Nut M6-8","1","GB/T889.1-2000"
"18","1040102034","Screw  M8×60-10.9","4","GB/T70.1-2000"
"19","1040300063","Washer 8","4","GB/T93-1987"
"20","1010306818","Cylinder  control valve 
(ZS0607HD/0607DC)","1",""
"","1010306819","Cylinder  control valve 
(ZS0607HD-Li/ 0607DC-Li)","1",""
"21","1040200867","Nut M5-8","2","GB/T889.1-2000"
"22","1040300159","Washer 5","1","GB/T96.1-2002"
"23","1019808222","Stay wire","1",""
"24","1040201842","Connecting nut M8-M5","1",""
"25","1100700162","T handle (Red)","1",""
"26","00775600300001110","Plastic pad","24",""
