"NO.","Material No.","Item and Spec","Units","Remark"
"1","00775702800800000","Left pothole plate.","1",""
"2","1040500054","Split  pin 4×40","8","GB/T91-2000"
"3","1040300052","Washer 16","12","GB/T97.1-2002"
"4","1040501520","Pin B16×50","6","GB/T882-2000"
"5","1040500111","Pin B16×90","2","GB/T882-1986"
"6","00775602800001130","Crank gasket","2",""
"7","1040300066","Washer 8","4","GB/T97.1-2002"
"8","1040300063","Washer 8","4","GB/T93-1987"
"9","1040201078","Nut M8","2","GB/T6170-2000"
"10","00775702800001020","Crank linkage","2",""
"11","00775602801400000","Crank","2",""
"12","1040500383","Pin B8×50","2","GB/T882-1986"
"13","1040500212","Split  pin 3.2×20","2","GB/T91-2000"
"14","00775602800001060","Crank trolley","2",""
"15","00775602800001070","Crank Pin","2",""
"16","1040300094","Washer 8","2","GB/T96.1-2002"
"17","1110100353","Gas spring","2",""
"18","1040000288","Bolt  M8×25","10","GB/T5783-2000"
"19","00775702801400000","Guide  mechanism","1",""
"20","1040200503","Nut M8-8 M8-8","10","GB/T889.1-2000"
"21","00775602803000000","Tray lock seat I","1",""
"22","00775602802200000","Right  pothole plate","1",""
"23","00775602802800000","Tray lock seat II","1",""
"24","1020705980","Conduction band","2",""
"25","1040200100","Nut M4-8","4","GB/T6170-2000"
"26","1040300044","Washer 4","4","GB/T93-1987"
"27","1040301697","Washer 4","4","GB/T97.1-2002"
"28","1029906298","Limit  switch","2",""
"29","1040101189","Screw M4×40-8.8","4","GB/T70.1-2000"
"30","00775606300201050","Switch plate","2",""
"31","00775606300201060","Switch shield","2",""
