"Item","Part Number","Description","Qty.","Remark"
"1","00000678","Bolt  GB/T 5783  M10 × 25","4",""
"2","00000679","Spring Washer  GB/T 93  10","4",""
"3","00001028","Flat Washer  GB/T 96.1  10","4",""
"4","92100926","Cover","1",""
"5","00001012","Screw  GB/T 973  M5×14","8",""
"6","00003545","Flat Washer  GB/T 96.1  5","8",""
"7","92101403","Cover","1",""
"8","92100967","Soundproof Cotton","1",""
"9","92100966","Soundproof Cotton","1",""
"10","92100970","Soundproof Cotton","1",""
"11","92100969","Soundproof Cotton","1",""
"12","92100968","Soundproof Cotton","1",""
"13","92100689","Soundproof Cotton","1",""
"14","00000743","Bolt  GB/T 5783  M6 × 20","5",""
"15","00000621","Spring Washer  GB/T 93  6","5",""
"16","00002583","Flat Washer  GB/T 96.1  6","5",""
"17","50000112","Nut QC/T 885 M6","5",""
"18","00001011","Screw  GB/T 973  M5×12","2",""
"19","10000376","Spacer, rubber","2",""
"20","92100915","Cover","1",""
"21","92101175","Cover","1",""
"22","00000875","Bolt  GB/T 5783  M8 × 20","9",""
"23","00000609","Spring Washer  GB/T 93  8","10",""
"24","00000608","Flat Washer  GB/T 97.1  8","8",""
"25","92100638","Cover","1",""
"26","00006251","Nut QC/T 885 M8","1",""
"27","00000993","Bolt  GB/T 5783  M8 × 25","1",""
"28","00002000","Flat Washer  GB/T 96.1  8","2",""
