"Item","Part Number","Description","Qty.","Remark"
"1","92100630","Hose Assembly","1",""
"2","92100635","Hose Assembly","1",""
"3","00001834","Fitting, 90°","2",""
"4","","","","Not used"
"5","00004922","Fitting, 90°","2",""
"6","92030383","Hose Assembly","1",""
"7","00001239","Fitting, Tee","3",""
"8","92100633","Hose Assembly","1",""
"9","00001238","Fitting, Tee","1",""
"10","00006503","Test Adapter","1",""
"11","00001318","Fitting, Straight","3",""
"12","00005565","Fitting, Straight","1",""
"13","00002119","Fitting, Tee","1",""
"14","00001771","Fitting, Straight","1",""
"15","92100624","Hose Assembly","1",""
"16","00001833","Fitting, 90°","1",""
"17","92100632","Hose Assembly","1",""
"18","00001501","Fitting, Straight","8",""
"19","92100631","Hose Assembly","1",""
"20","00001772","Fitting, Straight","2",""
"21","92100634","Hose Assembly","1",""
"22","92100623","Hose Assembly","1",""
"23","00001747","Fitting, Straight","2",""
"24","00006457","Fitting, Tee","1",""
"25","00005631","Fitting, Straight","1",""
"26","90030355","Check Valve","1",""
"27","00006455","Fitting, Tee","1",""
"28","00005628","Fitting, Straight","1",""
"29","90003092","Check Valve","1",""
