"Item","Part Number","Description","Qty.","Remark"
"1","00000683","Bolt  GB/T 5783  M10 × 30","16",""
"2","00000615","Flat Washer  GB/T 97.1  10","48",""
"3","92100562","Battery","1","BT30ERT 
BT30SERT 
BT28ERT 
BT28SERT 
BT28BERT"
"","00007384","Battery","1","BT26SERT 
BT26ERT 
BT24ERT 
BT26BERT 
BT24BERT 
Standard"
"","92100562","Battery","1","BT26SERT 
BT26ERT 
BT24ERT 
BT26BERT 
BT24BERT 
Optional"
"4","92100612","Plug (Blue)","1","Standard"
"","00008354","Plug (Red)","1","Optional"
"5","00000817","Screw  GB/T 70  M5 × 20","4",""
"6","00000606","Spring Washer  GB/T 93  5","4",""
"7","00000605","Flat Washer  GB/T 97.1  5","4",""
"8","92100613","Socket (Blue)","1","Standard"
"","00008355","Socket (Red)","1","Optional"
"9","92100534","Charger Indicator","1",""
"10","00000619","Bolt  GB/T 5783  M6 × 25","4",""
"11","00000621","Spring Washer  GB/T 93  6","4",""
"12","00000620","Flat Washer  GB/T 97.1  6","4",""
"13","92100691","Cover","1","Standard"
"","92100566","Socket, Fast Charger","1","Optional"
"14","00000623","Nut  GB/T 6182  M10","16",""
"15","92100561","Support","4",""
"16","00000674","Bolt  GB/T 5783  M10 × 20","16",""
