"Item","Part Number","Description","Qty.","Remark"
"1","00001063","Bolt  GB/T 5783  M8 × 16","8",""
"2","00000609","Spring Washer  GB/T 93  8","14",""
"3","00000608","Flat Washer  GB/T 97.1  8","14",""
"4","00003607","Bolt  GB/T 5783  M8 × 50","2",""
"5","92013750","Plate","6",""
"6","92007163","Clamp","12",""
"7","92048590","Linkage","1",""
"8","00001851","Bolt  GB/T 5783  M8 × 60","4",""
"9","92048652","8813-657550 Sleeve Bearing","4",""
"10","92048684","Shim","6",""
"11","92048687","Shim","6",""
"12","92048701","Pin, Pivot","1",""
"13","00000223","8902-16120 Pin, Lock","2",""
"14","00001161","Bolt  GB/T 5783  M16 × 40","2",""
"15","00001035","Spring Washer  GB/T 93  16","2",""
"16","00000997","Flat Washer  GB/T 97.1  16","2",""
"17","92048543","Linkage","1",""
"18","92048743","Pin, Pivot","1",""
"19","92048695","Cover","2",""
