"Item","Part No.","Description","Qty."
"1","00003380","Screw  GB/T 819  M5×16 – H","2"
"2","10005992","Mast cover","1"
"3","10005991","Mast cover","1"
"4","10005494","Adjusting plate","16"
"5","10005495","Slide block","4"
"6","00004983","Screw  GB/T 846  ST5.5×13 - C - H","2"
"7","10005995","Lock plate","1"
"8","00002391","Screw  GB/T 818  M5×8 – H","2"
"9","10005983","Mast 5 weldment","1"
"10","00004816","Washer  6  DIN 25201","32"
"11","00001180","Screw  GB/T 70.2  M6×20","8"
"12","10005498","Slide block","12"
"13","00001179","Screw  GB/T 70.2  M6×16","24"
"14","00000621","Washer  GB/T 93  6","6"
"15","00000745","Bolt  GB/T 5783  M6×12","6"
"16","","Wire rope assembly (refer to 304.1）","2"
"17","00000620","Washer  GB/T 97.1  6","4"
"18","10005979","Plate","1"
"19","00004828","Screw  GB/T 845  ST5.5×13","4"
