"Item","Part No.","Description","Qty."
"1","00000775","Bolt  GB/T 5783  M6×30","1"
"2","00000620","Washer  GB/T 97.1  6","3"
"3","00002927","Cable reel","1"
"4","00005063","Wire clip","2"
"5","00000621","Washer  GB/T 93  6","7"
"6","00001042","Screw  GB/T 70.1  M6×30","2"
"7","10006292","Pin","2"
"8","10006294","Press plate","2"
"9","00000779","Washer  GB/T 93  4","4"
"10","00002002","Screw  GB/T 70.1  M4×10","4"
"11","10006283","Reel bracket","1"
"12","00000818","Bolt  GB/T 5783  M6×16","3"
"13","00001033","Nut  GB/T 6182  M6","1"
"14","00002617","AC socket (Australia)","1"
"","00002709","AC socket (European)","1"
"","00000668","AC socket (China/UK/USA)","1"
"15","00002603","AC plug (Australia 220V)","1"
"16","00003148","AC plug (China 220V)","1"
"","00003149","AC plug (USA 110V)","1"
"","00003151","AC plug (European 220V)","1"
"","00003150","AC plug (UK 220V)","1"
"","00002615","AC plug (UK 110V)","1"
"17","00002634","Circuit breaker (Option)","1"
"18","00005378","Wire cable, platform AC power","1"
"19","00001034","Screw  GB/T 70.1  M6×25","2"
