"Item","Part No.","Description","Qty."
"1","10006072","Pothole link plate","2"
"2","10022999","Pothole guard weldment","1"
"3","00004994","Nut  GB/T 6170  M14","2"
"4","10006073","Adjusting screw","1"
"5","00002504","Screw  GB/T 70.1  M10×25","2"
"6","00000679","Washer  GB/T 93  10","2"
"7","00000615","Washer  GB/T 97.1  10","2"
"8","10006071","Rod bracket","2"
"9","10006080","Spring","4"
"10","00005073","892-20051  Pin","1"
"11","10006058","Pothole hole pusher plate","1"
"12","00000926","Circlips  GB/T 894.1-20","5"
"13","00005029","8812-202316  Bearing","6"
"14","00000360","8812-202325  Bearing","1"
"15","10006074","Clevis yoke","1"
"16","10006062","Connection rod weldment","1"
"17","00005074","892-20033  Pin","2"
"18","00000368","8812-252820  Bearing","3"
"19","10006054","Pothole hole pusher bracket","1"
"20","10006075","Washer","4"
"21","00000765","Screw  GB/T 70.3  M8×20","4"
"22","10022997","Pothole guard weldment","1"
"23","10006050","Linkage weldment","1"
"24","10006065","Connection rod weldment","1"
"25","10006082","Rod bracket","1"
"26","00005076","892-20065  Pin","2"
"27","10006083","Pothole link plate","2"
"28","00005111","8831-0803  Bearing","3"
"29","10004920","Washer","9"
