"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"21","1020700974","Упорная планка","А","1",""
"22","1029904980","Соединительный зажим","А","7","2004--1301"
"23","1029904933","Упорная планка","А","2","2004--1392"
"24","1029905392","Соединительный зажим","А","5","2002--1681"
"25","1020605395","Предохранитель","А","4","297005"
"26","1020605394","Предохранитель","А","1","297010"
"27","1029904920","ZDU2.5 Закорачивающая плита","А","3","2002--402"
"28","1020704265","3-проводная клеммная колодка 
заземления","А","4","2004--1307"
"29","1020520942","Торцевая пластина","А","1","2002--1691"
"30","1020103955","Узлы разъема контроллера","А","1","R902603622"
"31","1040300051","Шайба","А","4","GB/T97.1-2002"
"32","1040300062","Шайба","B","4","JB/T93-1987"
"33","1040102372","Винт с цилиндрической головкой 
и внутренней шестигранью","А","4","GB/T70.1-2000"
"34","1020103903","Контроллер","B","1","RC28-14/30"
"35","1020404405","Проблесковый зуммер","B","1","AD17- 
22SML/DC12VR"
"36","1029907643","Розетка","А","1","192900--0437"
"37","1022396084","Крепежный кабельный ввод","А","1","HSK-M20B"
"38","1029906990","Штепсель ITT","А","1","192900--0074"
"39","1029805618","Розетка","А","1","T417111005-002"
"40","1029907559","Уплотнительное кольцо","А","1","O-RING20"
"41","1020809446","Направляющая","B","1","RD 35/7.5 B1-CX"
