"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1029802085","Нейлоновая заглушка","А","10","DPK-M12B"
"2","1029804205","Затяжная гайка","А","10","GMK-M12B"
"3","1020521444","Качающийся переключатель","А","1","TN8A_103EY_N_C/H01"
"4","1020499258","Панель индикаторов 
сигнализации","А","1","HSL102"
"5","00771206200130030","Защитный кожух 
электрического шкафа 
управления платформой","А","1",""
"6","00772706200210030","Электрический шкаф 
управления платформой","B","1",""
"7","1029805597","Кнопка","А","1","PBM-12M11-DS-N- 
NNB1S"
"8","1029907663","Водонепроницаемый чехол","А","1","D-15-PBM-12M"
"9","1020810958","Качающийся переключатель","А","1","TN8A_108EY_N_C/H01"
"10","1020521443","Качающийся переключатель","А","1","TN8A_101EY_N_C/H01"
"11","1020521445","Качающийся переключатель","А","6","TN8A_107EY_N_C/H01"
"12","1040300514","Шайба","А","8","GB/T97.1-2002"
"13","1040001122","Болт","А","8","JB/T5783-2000"
"14","1020520994","Рычаг","А","1","D10BHD2AK4ZOZ LG"
"15","1020520995","Потенциометр","А","1","DD40HS1ZLG"
"16","1020522210","Аварийный выключатель","B","1","TCBT42 UL"
"17","1020522687","Прокладка и контрящий винт 
выключателя аварийной 
остановки","А","1","(TCB)PT-XV-ZL08"
"18","0077110ECN1000010","Знак аварийной остановки","А","1",""
"19","1020520993","Рычаг","А","1","D10AHS2AK2ZOZ LG"
"20","00772706200210040","Пленка электрического шкафа 
управления платформой","А","1",""
