"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"8","1040202855","Гайка","А","8","GB/T889.1-2000"
"20","1040007054","Болт","B","1","JB/T5783-2016"
"21","00773400400001250","Стопорный штифт","E","1",""
"22","00773402800001070","Подшипник","А","2",""
"23","00773402810001061","Шкворень I","А","1",""
"24","1040004029","Болт","А","8","JB/T5783-2000"
"25","00773400200001070","Стопорный штифт","F","4",""
"26","00773402800001131","Шкворень III","B","2",""
"27","00773402800001271","Шайба штифта поворотной 
цапфы","А","6",""
"28","00773400200001020","Подшипник","B","2",""
"29","1040302505","Стопорное кольцо","А","4","JB/ZQ4342-2006"
"30","00773402810001152","Фиксирующее кольцо 
маслопровода мотора","А","2",""
"31","00773402810001142","Опора маслопровода мотора    I","B","2",""
"32","00773402800001350","Подшипник","А","2",""
"33","00773402800001121","Шкворень II","B","2",""
"34","00773402800001110","Прокладка поворотной цапфы","А","2",""
"35","00773402810001260","Подшипник","А","6",""
"36","00771600301001250","Стопорный штифт","C","6",""
"37","1040004032","Болт","А","6","JB/T5783-2000"
"38","00773702800001340","Шкворень VI","C","6",""
"39","02564402802400000","Рулевая тяга I","B","1",""
"40","02564402801200000","Гидроцилиндр рулевого 
управления","B","2",""
"41","02561502800400000","Поворотная цапфа    II","А","1",""
"42","02561502800200000","Сварные изделия переднего 
моста","B","1",""
"43","02561502800300000","Поворотная цапфа    II","А","1",""
