"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040103133","Винт","А","8","GB/T70.3-2008"
"2","1040004619","Болт","А","4","JB/T5783-2000"
"3","1040301515","Шайба","А","4","GB/T97.1-2002"
"4","1040002433","Болт","А","6","JB/T5783-2000"
"5","1040103076","Винт","А","4","GB/T70.3-2008"
"6","00773700200001101","Зажимная планка трубопровода","А","2",""
"7","00773400300001200","Стопорный штифт","F","6",""
"8","00773700200001110","Гнездо резиновой трубы для 
воздуховода маховой стрелы","А","2",""
"9","00773700200001082","Щиток трубы","А","1",""
"10","00773700400001290","Скоба","C","2",""
"11","00773400200001020","Подшипник","B","2",""
"12","00773400200001010","Подшипник","C","10",""
"13","02564400201000000","Гидроцилиндр консоли","А","1",""
"14","00773700200001070","Штифт","D","1",""
"15","00773700200001050","Штифт","B","2",""
"16","00773700200001010","Подшипник","А","2",""
"17","02561500200400000","Верхний шатун","А","1",""
"18","00773700200200001","Опора","А","1",""
"19","1010202495","Качающийся цилиндр","А","1","HBM_95/180(witho 
ut hole)"
"20","00773700200600000","Нижний шатун","А","2",""
"21","00773700200001060","Штифт","B","2",""
