"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040004033","Болт","А","6","JB/T5783-2000"
"2","1040303581","Шайба","А","14","GB/T96.1-2002"
"3","00773402810001021","Передняя крышка рамы","B","1",""
"4","1040004644","Болт","А","8","JB/T5783-2000"
"5","1040302490","Шайба","B","8","GB/T97.1-2002"
"6","02564402802200000","Плавающий цилиндр","B","2",""
"7","00773402800001281","Монтажная панель блок 
клапанов шасси","А","2",""
"8","1040202855","Гайка","А","8","GB/T889.1-2000"
"9","1040004519","Болт","А","4","JB/T5783-2000"
"10","1040201860","Гайка","А","4","QC/T608-2011"
"11","00773402800001030","Задняя крышка рамы","B","1",""
"12","00773402800001040","Крышка заднего моста","B","2",""
"13","1040007502","Болт","А","8","JB/T5783-2000"
"14","1030800695","Шина","B","2",""
"14","1030800696","Шина","А","2",""
"15","1040102055","Винт","А","24","GB/T70.1-2000"
"16","1040301016","Шайба","B","24","GB/T97.1-2002"
"17","1030202175","Редуктор","А","4",""
"17","1030203282","Редуктор","B","4",""
"18","1040202297","Гайка","А","36","GB/T6177.2-2000"
"19","02561502800100000","Сварная деталь рамы","D","1",""
