"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1140213104","Шланг в сборе","А","2",""
"2","1140219414","Шланг в сборе","А","1",""
"3","1140207617","Шланг в сборе","А","2",""
"4","1140208467","Шланг в сборе","А","1",""
"5","1140211875","Шланг в сборе","А","1",""
"6","1140236888","Шланг в сборе","А","1",""
"7","1140241817","Шланг в сборе","А","1",""
"8","1140261851","Шланг в сборе","А","2",""
"9","1140251660","Шланг в сборе","А","1",""
"10","1140203118","Шланг в сборе","А","1",""
"11","1140249533","Шланг в сборе","А","1",""
"12","1140243200","Шланг в сборе","А","1",""
"13","1140277666","Шланг в сборе","А","1",""
"14","1140269900","Шланг в сборе","А","1",""
"15","1140204759","Шланг в сборе","А","1",""
"16","1140242174","Шланг в сборе","А","3",""
"17","1140259724","Шланг в сборе","А","2",""
"18","1140206669","Шланг в сборе","А","1",""
"19","1140250197","Шланг в сборе","А","1",""
