"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1990200692","Резиновая лента с пластическим 
покрытием","B","6","20-φ20-φ20-M8"
"2","02561507100401040","Труба топлива  Ⅷ","А","1",""
"3","02561507100401011","Труба топлива II","А","1",""
"4","00773607100401010","Бак топлива в сборе","C","1",""
"5","1990202279","Хомут спирального червяка","А","13","SX9/W4/12-20"
"6","1040302512","Шайба","А","4","GB/T96.1-2002"
"7","1040002434","Болт","А","4","JB/T5783-2016"
"8","1040200503","Гайка","А","8","GB/T889.1-2000"
"9","1040102598","Винт","B","8","GB/T70.1-2000"
"10","00773407140401090","Тройник","А","1",""
"11","02561507100401020","Труба топлива  Ⅲ","А","1",""
"12","1029902994","Бандажная лента","А","6","CHS-
4*200(черный)"
"13","02561907100401021","Труба топлива  Ⅱ","А","1",""
"14","1010002646","Электронный топливный насос","А","1",""
"15","00772707100401060","Болт пустотелый М14 × 1,5 × 35","А","4",""
"16","1009810102","Водомаслоотделитель","А","1",""
"17","00772707100401070","Шайба Tp2","А","8",""
"18","1040004619","Болт","А","4","JB/T5783-2000"
"19","02561507100401031","Опорная пластина масляного 
фильтра","B","1",""
"20","1040302480","Шайба","B","6","GB/T96.1-2002"
"21","00772707100401050","Штуцер I 10","А","4",""
"22","1040300771","Шайба","А","8","GB/T97.1-2002"
"23","1040004520","Болт","А","3","JB/T5783-2000"
"24","02561507100401050","Труба топлива  Ⅲ","А","1",""
"25","1009902027","Червячный хомут турбины","А","3","SX9/W4/8-16"
"26","1040301515","Шайба","А","5","GB/T97.1-2002"
"27","1010601517","Тонкая фильтрация","А","1",""
"28","02561507100401060","Труба топлива  Ⅵ","А","1",""
"29","02561507100401080","Труба топлива  Ⅵ","А","1",""
"30","02561507100401070","Труба топлива  Ⅴ","А","1",""
"31","1009807579","Запорный клапан топлива","А","1",""
