"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1140251800","Шланг в сборе","А","2",""
"2","1140213110","Шланг в сборе","А","1",""
"3","1140202229","Шланг в сборе","А","1",""
"4","1140251630","Шланг в сборе","А","4",""
"5","1140226660","Шланг в сборе","А","1",""
"6","1140236953","Шланг в сборе","А","1",""
"7","1140251799","Шланг в сборе","А","4",""
"8","1140212916","Шланг в сборе","А","2",""
"9","1140108482","Шланг в сборе","А","2",""
"10","1140227658","Шланг в сборе","А","1",""
"11","1140253897","Шланг в сборе","А","1",""
"12","1140212123","Шланг в сборе","А","2",""
"13","1140249885","Шланг в сборе","А","2",""
"14","1140203307","Шланг в сборе","А","2",""
"15","1140217519","Шланг в сборе","А","2",""
"16","1140203118","Шланг в сборе","А","1",""
"17","1140250692","Шланг в сборе","А","2",""
"18","1140232131","Шланг в сборе","А","2",""
"19","1140252136","Шланг в сборе","А","1",""
"20","1140203105","Шланг в сборе","А","1",""
"21","1140236563","Шланг в сборе","А","1",""
"22","1140208429","Шланг в сборе","А","1",""
"23","1140101513","Тройник","А","5",""
