"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1000001110","Дизельный двигатель","B","1","V2403-CR-E5B- 
ZML-3"
"2","1040002178","Болт","А","4","JB/T5783-2000"
"3","1040300735","Шайба","А","4","GB/T96.1-2002"
"4","1040201896","Гайка","А","4","GB/T889.1-2015"
"5","1000000939_REF002","Эталонные узлы","А","1",""
"6","1040003357","Болт","А","1","JB/T5786-2000"
"7","1040302489","Шайба","B","1","GB/T97.1-2002"
"8","00773407140201030","Гнутая пластина II","B","1",""
"9","00773407140201020","Гнутая пластина I","B","1",""
"10","1009900968","Пружинная муфта в сборе","А","1","783968--0"
"11","00773407140201010","Крышка муфты","А","1",""
"12","1040101692","Болт","B","3","JB/T5786-2000"
"13","1040100097","Винт","А","8","GB/T70.1-2000"
"14","02561500800600000","Кронштейн двигателя","B","1",""
"15","00773407100201050","Подкладка","А","4",""
"16","1040200161","Гайка","А","4","JB/T889-1986"
"17","1009900979","Амортизатор двигателя","А","8","07Y-03-10000A- 
1145"
"18","00773407140201050","Гнутая пластина V","B","1",""
"19","00773407140201040","Изогнута пластинка III","B","1",""
"20","1040002273","Болт","B","15","JB/T5786-2000"
"21","1040302490","Шайба","B","15","GB/T97.1-2002"
"22","00773407140201060","Шайба","B","16",""
"23","1040302492","Шайба","B","4","GB/T97.1-2002"
"24","1040003912","Болт","А","4","JB/T5783-2000"
