"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"7","1040301031","Шайба","B","20","GB/T96.1-2002"
"8","1040004029","Болт","А","20","JB/T5783-2000"
"9","1040201089","Гайка","А","10","JB/T6170-2000"
"10","1040303580","Шайба","А","22","GB/T96.1-2002"
"11","1040004519","Болт","А","6","JB/T5783-2000"
"24","1040301515","Шайба","А","21","GB/T97.1-2002"
"52","02561500801800000","Левая упорная планка","А","1",""
"53","02561500800001100","Направляющий блок","А","2",""
"54","1040003252","Винт с цилиндрической головкой 
и внутренней шестигранью","А","4","GB/T70.1-2000"
"55","02564400800001050","Регулировочная шайба","B","2",""
"56","1040004596","Болт","А","2","JB/T5782-2000"
"57","02564300800001010","Монтажная пластина 
соединения","А","1",""
"58","1040202855","Гайка","А","2","GB/T889.1-2000"
"59","02561500800001060","Кронштейн установки масляного 
фильтра высокого давления","А","1",""
