"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040201089","Гайка","А","16","JB/T6170-2000"
"2","1040301510","Шайба","А","28","JB/T93-1987"
"3","1040302480","Шайба","B","32","GB/T96.1-2002"
"4","1040004520","Болт","А","12","JB/T5783-2000"
"5","00773401100700001","Петля","А","4",""
"6","00773701100001031","Регулировочная шайба","А","4",""
"7","1040301515","Шайба","А","16","GB/T97.1-2002"
"8","1040004519","Болт","А","16","JB/T5783-2000"
"9","1040200503","Гайка","А","8","GB/T889.1-2000"
"10","1110100363","Пневматическая пружина","А","4","485×200-900N- 
8442LT"
"11","02561501120400001","Сварная деталь левого капота","А","1",""
"12","1040004678","Дверной запорный болт","А","4","M10×70"
"13","00773701120001050","Кронштейн дверного упора","А","2",""
"14","1040004518","Болт","А","4","JB/T5783-2000"
"15","1040302512","Шайба","А","4","GB/T96.1-2002"
"16","1040301502","Шайба","А","4","JB/T93-1987"
"17","1040004565","Болт","А","4","JB/T5783-2016"
"18","02561501120801010","Опорная планка пряжки","А","1",""
"19","00773701130001020","Держатель левого замка","B","1",""
"20","1109900766","Дверной замок аккумулятора","А","2","50076-C38K"
"21","1040300771","Шайба","А","14","GB/T97.1-2002"
"22","1040100105","Винт","B","14","GB/T70.1-2000"
"23","1100700163","Дверная ручка","А","2","26983--09"
"25","00773601100601020","Круглая сталь","B","1",""
