"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","00771107160801020","Впускной рукав  Ⅱ","C","1",""
"2","1990202288","Хомут спирального червяка","А","3","SX12/W3/45-67"
"3","00771107160801030","Впускная стальная труба","C","1",""
"4","1040004517","Болт","А","2","JB/T5783-2000"
"5","1040302480","Шайба","B","4","GB/T96.1-2002"
"6","02561507100801010","Гнутая пластина I","А","1",""
"7","00771107121001060","Трубный зажим на обеих сторон","А","1",""
"8","1040004518","Болт","А","2","JB/T5783-2000"
"9","00771107160801010","Впускной рукав I","B","1",""
"10","1990202289","Хомут спирального червяка","А","1","SX12/W3/57-79"
"11","1040008475","Болт","А","2","JB/T5782-2000"
"12","1040301515","Шайба","А","2","GB/T97.1-2002"
"13","1040200503","Гайка","А","4","GB/T889.1-2000"
"14","02561707130801110","Вкладыш","B","2",""
"15","1000000939_REF010","Эталонные узлы","А","1",""
"16","1990202290","Хомут спирального червяка","А","1","SX12/W3/70-92"
"17","00773407140801050","Впускная труба","А","1",""
