"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"40","02561900110401100","Защитная накладка от падения","B","4",""
"41","1080000005","Масленка","А","8","JB/T7940.1-1995"
"42","1040006525","Болт","А","8","QC/T340-1999"
"43","1040103112","Винт","А","7","GB/T70.1-2000"
"44","1040200503","Гайка","А","4","GB/T889.1-2000"
"45","1040004646","Болт","А","4","JB/T5783-2000"
"46","02564400100401020","Вал","B","4",""
"47","1054600077","Игольчатый подшипник","А","8","JB/T5801-2006"
"48","02564400100401031","Пластина хомута","А","4",""
"49","1040301515","Шайба","А","7","GB/T97.1-2002"
"50","1040202857","Гайка","А","2","GB/T889.1-2000"
"51","02564400140410000","Переходный держатель","А","1",""
"52","00773400130401060","Прокладка III","C","2",""
"53","02564400100401015","Шатун","А","2",""
"54","02555400100420000","Сварная деталь кронштейна","B","1",""
"56","1040302490","Шайба","B","4","GB/T97.1-2002"
"57","1040001703","Болт","B","2","JB/T5782-2000"
"58","1040201111","Гайка","А","1","JB/T889-1986"
"59","1040301511","Шайба","А","1","GB/T97.1-2002"
"60","00773400100401030","Регулировочная шайба","А","2",""
"61","1040007563","Болт","А","1","JB/T5782-2000"
"62","00773400100401040","Вкладыш","А","1",""
"63","1040201381","Гайка","А","1","JB/T6170-2000"
"64","1040006458","Усиленный бол с полукруглой 
головкой квадратным диаметром","А","1","JB/T794-1993"
