"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1140308586","Шланг в сборе","А","2",""
"2","1140101427","Прямой соединитель","А","4",""
"3","1140258226","Маслопровод буксирной цепи","А","2",""
"4","1140213582","Шланг в сборе","А","1",""
"5","1140212123","Шланг в сборе","А","1",""
"6","1140238883","Шланг в сборе","А","1",""
"7","1140212192","Шланг в сборе","А","1",""
"8","1140261081","Шланг в сборе","А","1",""
"9","1140221641","Шланг в сборе","А","1",""
"10","1140101513","Тройник","А","1",""
"11","1140263328","Шланг в сборе","А","1",""
"12","1140252997","Шланг в сборе","А","1",""
"13","1140212449","Шланг в сборе","А","1",""
"14","1140259069","Шланг в сборе","А","1",""
"15","1140308585","Шланг в сборе","А","2",""
"16","1140232600","Шланг в сборе","А","2",""
"17","1140251129","Шланг в сборе","А","1",""
"18","1140252807","Шланг в сборе","А","1",""
"19","1140213116","Шланг в сборе","А","2",""
"20","1140257609","Маслопровод буксирной цепи","А","1",""
"21","1140257608","Маслопровод буксирной цепи","А","1",""
"22","1140112827","Прямой соединитель","А","2",""
"23","1140101476","Прямоугольный композитный 
штуцер","А","2",""
"24","1140101461","Прямой соединитель","А","4",""
"25","1140212607","Шланг в сборе","А","2",""
