"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"21","1040303579","Шайба","А","8","GB/T96.1-2002"
"31","02561500800001031","Ограничительный    планка","А","1",""
"32","00773400801400000","Штифт поддона","C","1",""
"33","02561500800001080","Опора подпиточного фильтра","А","1",""
"34","02561500800001090","Блокировочный штифт поворота","А","1",""
"35","1040104087","Винт","А","1","GB/T70.1-2000"
"36","02561500800001140","Вал поддона","А","1",""
"37","00773400800001150","Фрикционная накладка","А","1",""
"38","00773400800001010","Подшипник","А","2",""
"39","1040002434","Болт","А","1","JB/T5783-2016"
"40","00773400300001200","Стопорный штифт","F","1",""
"41","00773400800001200","Опора переключателя","А","1",""
"42","00773400800001043","Поддон аккумулятора","А","1",""
"43","1040000574","Болт","B","4","JB/T5783-2016"
"44","1040303581","Шайба","А","8","GB/T96.1-2002"
"45","1040201646","Гайка","А","4","JB/T6170-2000"
"46","00773400800001221","Регулировочная шайба","А","2",""
"47","00773700850001060","Тяга аккумулятора","А","4",""
"48","00773400800001280","Нажимная плита аккумулятора","А","2",""
"49","00773400800001172","Перегородка для аккумулятора","А","1",""
"50","1040201865","Гайка","А","4","JB/T6170-2000"
"51","00773700850001030","Вкладыш для поддона","А","1",""
