"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","00773400300001050","Подшипник","А","10",""
"2","1040004570","Болт","А","7","JB/T5783-2000"
"3","00773400400001250","Стопорный штифт","E","7",""
"4","00773400400001130","Подшипник","А","8",""
"5","02564400400001090","Вал A10","А","1",""
"6","1040004511","Болт","А","1","JB/T5783-2000"
"7","00773400200001070","Стопорный штифт","F","2",""
"8","02564400400001070","Вал A7","А","1",""
"9","00773400400001080","Подшипник","B","1",""
"10","02564400400001060","Вал A6","А","1",""
"11","02564400401400001","Тяга","А","1",""
"12","02564300401600000","Гидроцилиндр изменения 
вылета башенной стрелы","А","1",""
"13","02564400401200002","Нижняя стойка","А","1",""
"14","02564400400600001","Шатун III","А","1",""
"15","02564400402000000","Правый шатун","А","1",""
"16","02564400400400002","Шатун II","А","1",""
"17","02564400401000006","Верхняя стойка","А","1",""
"18","02564400400200002","Шатун II","А","1",""
"19","02564300400800001","Шатун IV","А","1",""
