"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"8","1029904911","Пружинящая шайба","А","12","GB93-304"
"9","1040004672","Болт","А","12","JB/T5783-2000"
"10","1040300771","Шайба","А","22","GB/T97.1-2002"
"11","00773600130201010","Отбойный упор","B","1",""
"12","1040102017","Винт","А","8","GB/T70.1-2000"
"13","1040103173","Винт","А","2","GB/T70.1-2000"
"14","1040300514","Шайба","А","12","GB/T97.1-2002"
"15","1040300735","Шайба","А","10","GB/T96.1-2002"
"16","1101000163","Пружинная петля","А","2","D-10"
"17","00775600101801010","Личинка замка","А","1",""
"18","1040201896","Гайка","А","16","GB/T889.1-2015"
"19","1040004522","Болт","А","1","JB/T5783-2000"
"20","00775600101801020","Пружина","А","1",""
"21","1040301515","Шайба","А","2","GB/T97.1-2002"
"22","1040201880","Гайка","А","1","JB/T802-1988"
"23","02555400110230000","Вращающаяся дверь","А","1",""
"24","02555300140210000","Свариваемые изделия 
платформы","C","1",""
"25","02555400100201011","Упорная планка","B","1",""
"26","1040102372","Винт с цилиндрической головкой 
и внутренней шестигранью","А","6","GB/T70.1-2000"
"27","00771100110240000","Сварная деталь задней 
пластины","B","1",""
"28","1999904986","Коробка для файлов","А","1","ZJ1145029"
"29","1040002738","Болт","А","4","JB/T5783-2000"
"30","1040302480","Шайба","B","4","GB/T96.1-2002"
"31","1040202855","Гайка","А","4","GB/T889.1-2000"
"32","1040103112","Винт","А","4","GB/T70.1-2000"
"33","1040200503","Гайка","А","2","GB/T889.1-2000"
"34","00773400100261060","Болт","А","2",""
"35","00771100110230200","Упор II","B","1",""
"36","1040303579","Шайба","А","4","GB/T96.1-2002"
"37","1040301515","Шайба","А","4","GB/T97.1-2002"
"38","00771100110230400","Упор","B","1",""
"39","00771100110232000","Защитный кожух","C","1",""
