"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1019901470","Уровнемер-термометр","А","1","FSA-127-1.0/T/10"
"2","1140101820","Прямой соединитель","А","2","GE15LR3/4EDOMD 
CF"
"3","1140114040","Соединение гидравлических 
труб","А","1","GE10LR3/8EDOMD"
"4","1140103362","Прямой соединитель","А","2","GE28LREDOMDCF"
"5","1140113717","Прямой соединитель","А","1","GE15LR1EDOMDC F"
"6","1140101628","Резьбовая заглушка","А","1","VSTI3/4EDCF"
"7","1040301502","Шайба","А","2","JB/T93-1987"
"8","1040101492","Винт","А","2","GB/T70.1-2000"
"9","1010601570","Обратный масляный фильтр","А","1","RFMON185B/D10A1.0"
"10","1040301510","Шайба","А","8","JB/T93-1987"
"11","1040103111","Винт","А","8","GB/T70.1-2000"
"12","00773405200230000","Уплотняющая пластина","А","1",""
"13","1010500489","Воздушный фильтр","А","1","EFB480H150-W"
"14","00773405200220001","Крышка люка","А","1",""
"15","02561505201410000","Корпус масляного бака","А","1",""
