"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"9","1040201089","Гайка","А","10","JB/T6170-2000"
"10","1040303580","Шайба","А","22","GB/T96.1-2002"
"13","02561500800001110","Хомут","А","3",""
"14","02561500800400001","Опора бака топлива","А","1",""
"15","1040004653","Болт","А","12","JB/T5783-2000"
"16","1040302490","Шайба","B","12","GB/T97.1-2002"
"17","02561500800001050","Монтажная планка для клапана 
ходового управления","А","1",""
"18","02561500800001070","Опора бандажа шкафа 
электрического управления","А","1",""
"19","02561500801600001","Сварная деталь опоры шкафа 
электрического управления","А","1",""
"20","1040202863","Гайка","А","2","JB/T6182-2000"
"21","1040303579","Шайба","А","8","GB/T96.1-2002"
"22","1040001631","Болт","А","2","JB/T5783-2000"
"23","1040004518","Болт","А","20","JB/T5783-2000"
"24","1040301515","Шайба","А","21","GB/T97.1-2002"
"25","02561500800001220","Монтажная планка опоры шкафа 
электрического управления","B","1",""
"26","02561500800800001","Опора бака гидравлического 
масла","B","1",""
"27","02561500800001010","Кронштейн установки 
аварийного насоса","А","1",""
"28","1040004517","Болт","А","2","JB/T5783-2000"
"29","02561500800001021","Кронштейн основного клапана","А","1",""
"30","02561500800001250","Монтажная планка запорного 
клапана выдвижения-втягивания","А","1",""
