"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040302489","Шайба","B","54","GB/T97.1-2002"
"2","1040300771","Шайба","А","23","GB/T97.1-2002"
"3","1040102598","Винт","B","4","GB/T70.1-2000"
"4","02561500300001040","Регулировочный ползун 
цилиндра","А","2",""
"5","1040301515","Шайба","А","36","GB/T97.1-2002"
"6","1040103111","Винт","А","4","GB/T70.1-2000"
"7","00773500310001010","Прижимная пластина цилиндра","А","2",""
"8","02561500300800000","Гидроцилиндр выдвижения-
втягивания","А","1",""
"9","02561500301200000","Нижний гидроцилиндр 
выравнивания","А","1",""
"10","1040004565","Болт","А","2","JB/T5783-2016"
"11","02564400301400000","Гидроцилиндр изменения 
вылета основной стрелы","А","1",""
"12","1040103076","Винт","А","8","GB/T70.3-2008"
"13","00773700400001290","Скоба","C","4",""
"14","02564400300001070","Шкворень III","А","1",""
"15","00773400200001020","Подшипник","B","8",""
"16","02564400300001081","Подпирающая плита 
гидроцилиндра выдвижения-
втягивания","А","1",""
"17","00773400200001010","Подшипник","C","4",""
"18","02561500301000000","Верхний гидроцилиндр 
выравнивания","А","1",""
"19","","02564400300001020  Осеп выравнивающего цилиндра","А","1",""
"20","02561500300400004","Стрела выдвижения-втягивания","А","1",""
"21","02561500300200003","Основная стрела","А","1",""
"22","1040004032","Болт","А","9","JB/T5783-2000"
"23","1040007502","Болт","А","7","JB/T5783-2000"
"24","02564300300001011","Кожух селекторного клапана 
платформы","А","1",""
"25","02564300300401021","Монтажный кронштейн 
буксируемой цепи","А","1",""
"26","02564300300401032","Монтажная планка селекторного 
клапана","А","1",""
"27","1040103038","Винт","А","4","GB/T70.1-2000"
