"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1140101476","Прямоугольный композитный 
штуцер","А","10","EW10LOMDCF"
"2","1140114624","Прямой соединитель","А","1","GE10LR3/8EDOMD 
-L91.5"
"3","1140105603","Прямой соединитель","А","1","GZ15LA3C"
"4","1019809070","Обратный клапан","А","1","RHD15LOMDA3C- 
2BAR"
"5","1140114040","Соединение гидравлических 
труб","А","5","GE10LR3/8EDOMD"
"6","1140101629","Резьбовая заглушка","А","2","VSTI3/8EDCF"
"7","1140103282","Переходное соединение 
стыкового типа","А","2","RED15/10LOMDCF"
"8","1140101489","Тройной композитный штуцер","А","2","EL15LOMDCF"
"9","1140101464","Прямой соединитель","А","2","GE15LREDOMDCF"
"10","1140114187","Манометрический штуцер","А","1","SD-M16×2-F-G1/4"""
"11","1149902022","Проходной соединитель 
удлинительного конца","А","1","GE10LR3/8EDOMD 
CF-110"
"12","1140114625","Прямой соединитель","А","3","GE10LR3/8EDOMD 
-L61.5"
"13","1010312287","Главный клапан","А","1","EHV-06-06-P210- 
BE159"
