"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","00773400300001050","Подшипник","А","10",""
"2","1040004570","Болт","А","7","JB/T5783-2000"
"3","00773400400001250","Стопорный штифт","E","7",""
"14","02564400400600001","Шатун III","А","1",""
"18","02564400400200002","Шатун II","А","1",""
"20","1040301515","Шайба","А","14","GB/T97.1-2002"
"21","1040103115","Винт","А","2","GB/T70.1-2000"
"22","02564400400001200","Упорная планка II","А","4",""
"23","1040004599","Болт","А","8","JB/T5782-2000"
"24","02564400400001182","Трубный зажим II","А","2",""
"25","02564400400001191","Трубный зажим III","А","2",""
"26","02564400400001170","Перегородка  Ⅰ","А","1",""
"27","02564400400001160","Трубный зажим I","А","1",""
"28","1040103111","Винт","А","4","GB/T70.1-2000"
"29","02564400400001120","Направляющий блок","А","2",""
"30","00773400300001070","Подшипник","А","4",""
"31","02564400400001100","Вал A10","А","1",""
