"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040303578","Шайба","А","8","GB/T96.1-2002"
"2","1040001122","Болт","А","2","JB/T5783-2000"
"3","1040201904","Гайка","А","4","GB/T889.1-2015"
"4","1040004669","Болт","А","2","JB/T5783-2000"
"5","1040103112","Винт","А","2","GB/T70.1-2000"
"6","1040301515","Шайба","А","10","GB/T97.1-2002"
"7","1040200503","Гайка","А","6","GB/T889.1-2000"
"8","1040301510","Шайба","А","4","JB/T93-1987"
"9","1040004517","Болт","А","4","JB/T5783-2000"
"10","1040102739","Винт","А","2","GB/T70.1-2000"
"11","1040004557","Болт","А","2","GB/T16674.1-2016"
"12","00773500710400001","Кронштейн","А","1",""
"13","00773400700001050","Изогнутая монтажная панель","C","2",""
"14","00773700700001150","Гнездо резиновой трубы для 
воздуховода буксируемой цепи 
Ⅱ","А","2",""
"15","00773500710001040","Трубчатый желоб","B","1",""
"16","02561500700200000","Сварная деталь прямоугольной 
трубы","А","1",""
"17","02561500700010000","Механизм буксируемой цепи","B","1",""
