"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040004517","Болт","А","12","JB/T5783-2000"
"2","1000200483","Радиатор в сборе","B","1","BR71625ZC"
"3","00773407140601100","Паровой рукав II","А","1",""
"4","1990202279","Хомут спирального червяка","А","4","SX9/W4/12-20"
"5","1000300735","Расширительный бак","А","1","1311--01690"
"6","00773407140601030","Водовыпускная труба","А","1",""
"7","00773407140601091","Паровой рукав I","А","1",""
"8","1040004619","Болт","А","4","JB/T5783-2000"
"9","00773407140601060","Штуцер I","А","1",""
"10","00773407140601011","Монтажная панель водяного 
бака","А","1",""
"11","00773407140601020","Водовыпускная труба I","А","1",""
"12","1990202287","Хомут спирального червяка","А","8","SX12/W3/32-54"
"13","00773407140601081","Труба подпиточной воды","А","1",""
"14","00773407140601050","Обратный водовод II","А","1",""
"15","1990202282","Хомут спирального червяка","А","2","SX9/W4/25-40"
"16","00773407140601070","Штуцер II","А","1",""
"17","00773407140601040","Обратный водовод I","А","1",""
"18","1040302490","Шайба","B","4","GB/T97.1-2002"
"19","1040200170","Гайка","А","4","JB/T889-1986"
"20","1040002262","Болт","B","4","JB/T5783-2000"
"21","1040302821","Шайба","А","4","GB/T96.1-2002"
"22","00773407100601140","Подкладка","А","6",""
"23","00771007100601020","Гнутая пластина I","А","1",""
"24","00771007100601050","Планка  Ⅱ","А","2",""
"25","02561507100601011","Ветроотбойник","А","1",""
"26","1040004520","Болт","А","10","JB/T5783-2000"
"27","1040301515","Шайба","А","30","GB/T97.1-2002"
"28","00771007100601060","Планка I","А","2",""
"29","02561507100601020","Гнутая пластина  Ⅲ","А","1",""
"30","1040200503","Гайка","А","18","GB/T889.1-2000"
"31","00773407100601130","Губка изоляции","А","2",""
"32","00771007100601030","Гнутая пластина  Ⅱ","А","1",""
"33","1040004518","Болт","А","4","JB/T5783-2000"
