"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"18","1040103568","Винт","А","4","GB/T70.2-2000"
"19","1040004520","Болт","А","8","JB/T5783-2000"
"20","1040201896","Гайка","А","2","GB/T889.1-2015"
"21","02562700700201131","Направляющий блок","А","2",""
"22","02562700700201051","Монтажная планка","А","3",""
"23","1040303580","Шайба","А","32","GB/T96.1-2002"
"24","1040303579","Шайба","А","2","GB/T96.1-2002"
"25","1040303581","Шайба","А","4","GB/T96.1-2002"
"26","02562700700201160","Подкладка","А","1",""
"27","1040006427","Болт","А","2","JB/T5782-2016"
"28","1040004518","Болт","А","8","JB/T5783-2000"
"29","02562700700201150","Монтажная планка II трубы 
прямоугольного сечения","А","1",""
"30","1040007538","Болт","А","2","JB/T5782-2000"
"31","1040004519","Болт","А","4","JB/T5783-2000"
"32","02562700700201111","Прижимная планка II","А","6",""
"33","1040103111","Винт","А","4","GB/T70.1-2000"
"34","02562700700201041","Монтажная планка I трубы 
прямоугольного сечения","А","1",""
"35","1040301515","Шайба","А","10","GB/T97.1-2002"
"36","1040103567","Винт","А","4","GB/T70.2-2000"
"37","02562700700260000","Защитный кожух","B","1",""
"38","02562700700210003","Сварная деталь прямоугольной 
трубы","А","1",""
"39","02562700700220001","Механизм буксируемой цепи","B","1",""
"40","02562700700230002","Сварная деталь поддона","А","1",""
"41","02562700700201020","Направляющий блок","А","1",""
"42","1040103699","Винт","А","2","GB/T70.1-2000"
"43","1040300771","Шайба","А","2","GB/T97.1-2002"
"44","1040103018","Внутренний шестигранный винт","А","2","JB/T70.1"
"45","02562700700201071","Трубный зажим I","А","3",""
"46","1040007303","Болт","А","2","JB/T5782-2016"
"47","1040202855","Гайка","А","2","GB/T889.1-2000"
"48","1040004517","Болт","А","4","JB/T5783-2000"
"49","02562700700201101","Вкладыш","А","1",""
