"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","02562701100200001","Сварная деталь левого капота","А","1",""
"2","1040303581","Шайба","А","16","GB/T96.1-2002"
"3","1040004520","Болт","А","25","JB/T5783-2000"
"4","1040201089","Гайка","А","29","JB/T6170-2000"
"5","1040302480","Шайба","B","65","GB/T96.1-2002"
"6","00773701100001031","Регулировочная шайба","А","5",""
"7","1040004518","Болт","А","14","JB/T5783-2000"
"8","1040004517","Болт","А","16","JB/T5783-2000"
"9","1040004519","Болт","А","4","JB/T5783-2000"
"10","1040200504","Гайка","А","8","GB/T889.1-2000"
"11","1040004678","Дверной запорный болт","А","4","M10×70"
"12","1040301510","Шайба","А","15","JB/T93-1987"
"13","00771401141000001","Петля","B","5",""
"14","1040202856","Гайка","А","8","GB/T889.1-2000"
"15","1040301610","Шайба","А","4","JB/T93-1987"
"16","1040006017","Винт","B","4","GB/T70.1-2000"
"17","1040300771","Шайба","А","11","GB/T97.1-2002"
"18","1109900766","Дверной замок аккумулятора","А","1","50076-C38K"
"19","00773601100801020","Круглая сталь","D","2",""
"20","1110100476","Пневматическая пружина","А","8","342304"
"21","02562001100001030","Монтажный кронштейн","А","2",""
"22","1040101643","Винт","А","6","GB/T70.1-2000"
"23","1040303579","Шайба","А","3","GB/T96.1-2002"
"24","1100700163","Дверная ручка","А","2","26983--09"
