"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1140108904","Штуцер","А","1","EW22LOMDCF"
"2","1149901355","Переходный соединитель","А","1","RED22/15LOMDCF"
"3","1159903845","Прямой соединитель","А","1","GE22LR1EDOMDC 
F"
"4","1010313614","Запорный клапан","А","1","ST6974-AB00"
"5","1140101534","Прямоугольный композитный 
штуцер","А","1","EW20SOMDCF"
"6","1140101711","Тройной композитный штуцер","А","1","EL20SOMDCF"
"7","1140101528","Прямой соединитель","А","1","GE20SR1EDOMDC 
F"
"8","1040102739","Винт","А","2","GB/T70.1-2000"
"9","1040202855","Гайка","А","2","GB/T889.1-2000"
"10","1040200506","Гайка","А","6","GB/T889.1-2000"
"11","1140101477","Прямоугольный композитный 
штуцер","А","2","EW12LOMDCF"
"12","1140111291","Тройной композитный штуцер","А","1","EL12LOMDCF"
"13","1140101478","Прямоугольный композитный 
штуцер","А","3","EW15LOMDCF"
"14","1140101489","Тройной композитный штуцер","А","1","EL15LOMDCF"
"15","1140101464","Прямой соединитель","А","4","GE15LREDOMDCF"
"16","1010307624","Электромагнитный клапан","А","2","ST0062-AB0A"
"17","1140101463","Прямой соединитель","А","2","GE12LR1/2EDOMD 
CF"
"18","1010307623","Электромагнитный клапан","А","1","ST0062-AB00"
