"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040102775","Винт","А","8","GB/T70.1-2000"
"2","1040300044","Шайба","C","8","JB/T93-1987"
"3","1040302410","Шайба","А","10","GB/T97.1-2002"
"4","1020522288","Концевой выключатель","А","3","ZCP21+ZCE01+ZC 
Y25+ZC PEP16"
"5","1040201772","Гайка","А","8","JB/T6170-2000"
"6","1020304982","Зуммер","А","1","GFB-202-G"
"7","1040300771","Шайба","А","2","GB/T97.1-2002"
"8","1040301610","Шайба","А","2","JB/T93-1987"
"9","1040100105","Винт","B","2","GB/T70.1-2000"
"10","1029909162","Контактор постоянного тока","А","2","THZ8-200A12"
"11","1040302529","Шайба","А","4","GB/T96.1-2002"
"12","1029904911","Пружинящая шайба","А","4","GB93-304"
"13","1040001122","Болт","А","4","JB/T5783-2000"
"14","1020404399","Лампа предупреждения","B","1","JD90A-H03Y012"
"15","02562706218020000","Шкаф электрического 
управления поворотной 
платформой в сборе","А","1",""
