"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1140238848","Шланг в сборе","А","8",""
"2","1140252187","Шланг в сборе","А","4",""
"3","1140212676","Шланг в сборе","А","2",""
"4","1140215355","Шланг в сборе","А","2",""
"5","1140229054","Шланг в сборе","А","1",""
"6","1140252457","Шланг в сборе","А","1",""
"7","1140234200","Шланг в сборе","А","2",""
"8","1140245673","Шланг в сборе","А","2",""
"9","1140226553","Шланг в сборе","А","2",""
"10","1140260733","Шланг в сборе","А","1",""
"11","1140208889","Шланг в сборе","А","1",""
"12","1140252177","Шланг в сборе","А","2",""
"13","1140256319","Шланг в сборе","А","2",""
"14","1140308275","Шланг в сборе","А","4",""
"15","1140300070","Шланг в сборе","А","4",""
"16","1140216365","Шланг в сборе","А","2",""
"17","1140227554","Шланг в сборе","А","2",""
"18","1140212335","Шланг в сборе","А","4",""
"19","1140237154","Шланг в сборе","А","8",""
"20","1140111287","Тройник","А","4","T08LCFX"
"21","1140101807","Тройник","А","2",""
