"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1140101523","Прямой соединитель","А","2","GE20SREDOMDCF"
"2","1140101478","Прямоугольный композитный 
штуцер","А","2","EW15LOMDCF"
"3","1140101489","Тройной композитный штуцер","А","3","EL15LOMDCF"
"4","1140101464","Прямой соединитель","А","6","GE15LREDOMDCF"
"5","1140102868","Переходное соединение 
стыкового типа","А","1","RED20S/15LOMDA 
3C"
"6","1019901499","Штуцер","А","1","RED20S/12LOMDC 
F"
"7","1140101711","Тройной композитный штуцер","А","2","EL20SOMDCF"
"8","1010313613","Главный клапан","А","1","Hvsp12-000000- 
3227"
"9","1040004518","Болт","А","4","JB/T5783-2000"
"10","1040301515","Шайба","А","4","GB/T97.1-2002"
"11","1040301510","Шайба","А","4","JB/T93-1987"
"12","1140102939","Прямой соединитель","А","1","GE20SR1/2EDOMD 
CF"
"13","1140114187","Манометрический штуцер","А","1","SD-M16×2-F-G1/4"""
"14","1140101475","Прямоугольный композитный 
штуцер","А","1","EW08LOMDCF"
"15","1140111237","Прямой соединитель","А","1","GE08LREDOMDCF"
"16","1140101477","Прямоугольный композитный 
штуцер","А","1","EW12LOMDCF"
"17","1140111291","Тройной композитный штуцер","А","1","EL12LOMDCF"
"18","1140101737","Прямоугольный композитный 
штуцер","А","1","EW28LOMDCF"
"19","1140114591","Проходное переходное 
соединение","А","1","RED28/15LOMDCF"
"20","1060300324","Тройной композитный штуцер","А","1","EL28LOMDCF"
"21","1140101461","Прямой соединитель","А","1","GE10LREDOMDCF"
"22","1140107416","Заглушка с внутренней 
шестигранной головкой","А","1","VSTI1/2EDCF"
"23","1140101463","Прямой соединитель","А","3","GE12LR1/2EDOMD 
CF"
"24","1140102812","Прямой соединитель","А","1","GE18LREDOMDCF"
