"№ 
п/п","Код материалов","Наименование и 
спецификация","","Версия","Кол-
во","Примечание"
"1","1040004517","Болт","","А","3","JB/T5783-2000"
"2","1040301515","Шайба","","А","8","GB/T97.1-2002"
"3","00774007140401120","Гнутая пластина  Ⅱ","","А","1",""
"4","1009902027","Червячный хомут турбины","","А","3","SX9/W4/8-16"
"5","00771007110401070","Гибкий вал топливного дросселя","","А","1",""
"6","02562707120401050","Труба топлива V","","А","1",""
"7","1009807579","Обратный клапан","","А","1",""
"8","02562707120401010","Труба топлива II","","А","1",""
"9","1990202279","Хомут спирального червяка","","А","9","SX9/W4/12-20"
"10","1000401759","Тонкая фильтрация","","А","1",""
"11","00774007140401041","Труба топлива IV","","А","1",""
"12","1040303580","Шайба","","А","2","GB/T96.1-2002"
"13","1040004619","Болт","","А","2","JB/T5783-2000"
"14","1009824628","Электронный насос","","А","1",""
"15","1040104082","Винт","","А","2","GB/T70.1-2000"
"16","02564707120401010","Труба топлива II","","А","1",""
"17","1009901074","Водомаслоотделитель","","А","1","S110756301"
"18","1040004520","Болт","","А","2","JB/T5783-2000"
"19","02562307140401060","Бак топлива в сборе","","B","1",""
"20","1040302480","Шайба","","B","4","GB/T96.1-2002"
"21","1040200503","Гайка","","А","8","GB/T889.1-2000"
"22","1040201880","Гайка","","А","4","JB/T802-1988"
"23","1040302512","Шайба","","А","8","GB/T96.1-2002"
"24","1040202856","Гайка","","А","4","GB/T889.1-2000"
"25","1040007221","Болт","","А","4","JB/T5782-2000"
"26","00773407100401060","Пустотелый болт","","А","2",""
"27","1081000673","Сложная уплотнительная шайба","","А","4","JB/T982-1977"
"28","00773407100401050","Штуцер II","","А","2",""
"29","02562707110401120","Монтажная пластина масляного 
фильтра","","А","1",""
"30","1040004519","Болт","","А","3","JB/T5783-2000"
"31","1049900750","Штуцер","","А","2",""
"32","1009809841","Шайба","","А","4",""
"33","1009809840","Болт","","А","1",""
"34","1029902994","Бандажная лента","","А","10",""
