"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040004518","Болт","А","18","JB/T5783-2000"
"2","1040303580","Шайба","А","36","GB/T96.1-2002"
"14","1040302489","Шайба","B","36","GB/T97.1-2002"
"25","1040302490","Шайба","B","8","GB/T97.1-2002"
"34","02562700800001160","Стопорный штифт","А","2",""
"37","02562700800200001","Сварной элемент поворотной 
платформы","B","1",""
"71","02562700800001020","Антифрикционная плита","А","3",""
"72","1040000574","Болт","B","6","JB/T5783-2016"
"73","02562700800001070","Правый передний защитный щит 
башенной стрелы","А","1",""
"74","1040101567","Винт","А","20","GB/T70.1-2000"
"75","02562700800001170","Задний защитный щит башенной 
стрелы","А","2",""
"76","02562700800001060","Левый передний защитный щит 
башенной стрелы","А","1",""
"77","1040007293","Болт","А","1","JB/T5782-2016"
"78","02562700800001080","Прокладка башенной стрелы","А","1",""
"79","02562700800001090","Регулировочная шайба зазора 
башенной стрелы","А","2",""
"80","02562700800041120","Одноблочная прокладка","А","4",""
"81","02562700800041030","Задняя верхняя упорная планка","А","1",""
"82","02562700800001040","Штырь башенной стрелы  Ⅱ","А","1",""
