"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"41","1040301515","Шайба","А","4","GB/T97.1-2002"
"42","1040103568","Винт","А","2","GB/T70.2-2000"
"43","1040103076","Винт","А","4","GB/T70.3-2008"
"44","1040103558","Винт","А","2","GB/T70.3-2008"
"45","1040004032","Болт","А","12","JB/T5783-2000"
"46","1040302489","Шайба","B","36","GB/T97.1-2002"
"47","1040004033","Болт","А","24","JB/T5783-2000"
"48","1040103980","Винт","B","4","GB/T70.3-2008"
"49","1040201896","Гайка","А","10","GB/T889.1-2015"
"50","00774100400001181","Вкладыш","А","10",""
"51","1040004601","Болт","А","10","JB/T5782-2000"
"52","1040300771","Шайба","А","10","GB/T97.1-2002"
"53","02562700401620001","Узлы переднего нижнего ползуна","А","2",""
"54","02562700401801010","Регулировочная шайба (1 мм))","А","24",""
"55","02562700401830000","Узлы заднего верхнего ползуна","А","8",""
"56","02562700401820000","Узлы бокового ползуна","А","4",""
"57","02562700401840000","Узлы заднего нижнего ползуна","А","2",""
"58","00774100400001121","Длинная регулировочная шайба 
I","А","4",""
"59","02562700401601011","Регулировочная шайба (1 мм))","А","4",""
"60","1040103114","Винт","А","2","GB/T70.1-2000"
"61","02562700401801060","Направляющий блок IV","А","1",""
"62","02562700401801080","Направляющий блок II","А","1",""
"63","02562700401801070","Направляющий блок","А","1",""
"64","02562700401640001","Пылезащитная    щетка II","А","2",""
"65","02562700401630001","Пылезащитная    щетка I","А","2",""
"66","02562700400600001","Сварной элемент стрелы 
третьей секции","А","1",""
