"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","02551707160601180","Планка I","А","1",""
"2","02562707120601020","Ветроотбойник","А","1",""
"3","02562707120601030","Гнутая пластина II","А","1",""
"4","1000301236","Радиатор в сборе","B","1","BR71680ZC"
"5","1040004518","Болт","А","3","JB/T5783-2000"
"6","02551707160601020","Монтажная панель водяного 
бака","А","1",""
"7","1040002458","Болт","А","4","JB/T5783-2000"
"8","1000300735","Расширительный бак","А","1","1311--01690"
"9","1990202279","Хомут спирального червяка","А","4","SX9/W4/12-20"
"10","02551707160601090","Паровой рукав I","А","1",""
"11","02551707160601110","Паровой рукав II","А","1",""
"12","00774007130601050","Шланг III","А","1",""
"13","00774007130601070","Водовыпускная труба","А","1",""
"14","00774007130601040","Шланг II","А","1",""
"15","02551707160601010","Труба подпиточной воды","А","1",""
"16","1990202282","Хомут спирального червяка","А","2","SX9/W4/25-40"
"17","00774007130601030","Шланг I","А","1",""
"18","1990202287","Хомут спирального червяка","А","8","SX12/W3/32-54"
"19","00774007130601060","Обратный водовод","А","1",""
"20","00771607110601020","Шланг IV","А","1",""
"21","00773407130601210","Губка изоляции","А","1",""
"22","1040002262","Болт","B","4","JB/T5783-2000"
"23","00771407100601170","Подкладка","А","6",""
"24","1040301031","Шайба","B","8","GB/T96.1-2002"
"25","1040200170","Гайка","А","4","JB/T889-1986"
"26","1040004517","Болт","А","7","JB/T5783-2000"
"27","00771407140601140","Гнутая пластина I","А","1",""
"28","1040200503","Гайка","А","22","GB/T889.1-2000"
"29","00771607110601180","Планка I","C","1",""
"30","02562707120601010","Гнутая пластина I","А","1",""
"31","1040301735","Шайба","А","33","GB/T97.1-2002"
"32","1040004519","Болт","А","18","JB/T5783-2000"
"33","00771607110601200","Планка III","B","1",""
"34","00771607110601190","Пластина II","B","2",""
