"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"85","1040300514","Шайба","А","1","GB/T97.1-2002"
"86","1040202853","Гайка","А","1","GB/T889.1-2000"
"87","02562700400001090","Фиксированная ось","А","1",""
"88","1040004519","Болт","А","2","JB/T5783-2000"
"89","1040301515","Шайба","А","8","GB/T97.1-2002"
"90","02562700400201361","Крепительная планка","А","1",""
"91","02562700401201010","Монтажная планка","А","2",""
"92","1040103731","Винт","А","8","GB/T70.3-2008"
"93","1040303581","Шайба","А","4","GB/T96.1-2002"
"94","1040200504","Гайка","А","4","GB/T889.1-2000"
"95","1040101493","Винт","А","4","GB/T70.1-2000"
"96","1040302489","Шайба","B","22","GB/T97.1-2002"
"97","02562700401830000","Узлы заднего верхнего ползуна","А","6",""
"98","02562700401801010","Регулировочная шайба (1 мм))","А","12",""
"99","1040300771","Шайба","А","10","GB/T97.1-2002"
"100","00774100400001181","Вкладыш","А","10",""
"101","1040004601","Болт","А","10","JB/T5782-2000"
"102","1040201896","Гайка","А","10","GB/T889.1-2015"
"103","1040004033","Болт","А","18","JB/T5783-2000"
"104","02562700401601011","Регулировочная шайба (1 мм))","А","4",""
"105","02562700401620001","Узлы переднего нижнего ползуна","А","2",""
"106","1040302480","Шайба","B","2","GB/T96.1-2002"
"107","1040103111","Винт","А","2","GB/T70.1-2000"
"108","1040004518","Болт","А","6","JB/T5783-2000"
"109","02562700401240000","Ограничивающая опора","А","1",""
"110","02562700400001120","Штифт цилиндра подъема 
вылета","А","1",""
"111","00774000400001410","Нейлоновая прокладка","B","2",""
"112","00771400620001120","Самосмазывающийся 
подшипник","А","2",""
"113","02562700401201021","Монтажная планка","А","1",""
"114","02562700401230001","Пылезащитная    щетка II","А","2",""
"115","02562700401220001","Пылезащитная    щетка I","А","2",""
"116","02562700400200001","Сварной элемент стрелы первой 
секции","А","1",""
