"№ 
п/п","Код материалов","Наименование и 
спецификация","","","Версия","Кол-
во","Примечание"
"1","00771400620001120","Самосмазывающийся 
подшипник","","","А","4",""
"2","02562700311020000","Гидроцилиндр изменения 
вылета верхней стрелы","","","B","1",""
"3","00771600301001340","Подшипник, не требующий 
смазки","","","А","4",""
"4","02562700310610000","Выравнивающий цилиндр","","","C","1",""
"5","1040103192","Винт","","","А","4","GB/70.3-2000"
"6","02562700310801010","Регулировочная шайба 
цилиндра","","","А","8",""
"7","02562700310810000","Гидроцилиндр выдвижения-
втягивания","","","B","1",""
"8","00774100300001010","Опорный блок телескопического 
цилиндра","","","А","1",""
"9","1040302489","Шайба","","","B","2","GB/T97.1-2002"
"10","1040004508","Болт","","","А","2","JB/T5783-2016"
"11","1040002433","Болт","","","А","2","JB/T5783-2000"
"12","00774100300001030","Штифт телескопического 
цилиндра","","","B","2",""
"13","00773400300001200","Стопорный штифт","","","F","2",""
"14","02562700310820000","Правая скоба","","","А","1",""
"15","02562700310830000","Левая скоба","","","А","1",""
"16","1040103076","Винт","","","А","4","GB/T70.3-2008"
"17","","02562700311401020  Осеп выравнивающего цилиндра","","","А","1",""
"18","00773700400001291","Скоба","","","B","2",""
"19","00773400400001250","Стопорный штифт","","","E","1",""
"20","02562700311401010","Штифт","","","А","1",""
"21","1040301515","Шайба","","","А","54","GB/T97.1-2002"
"22","1040302489","Шайба","","","B","24","GB/T97.1-2002"
"23","1040004523","Болт","","","А","7","JB/T5783-2000"
"24","1040007502","Болт","","","А","4","JB/T5783-2000"
"25","1040200503","Гайка","","","А","13","GB/T889.1-2000"
"26","1040300771","Шайба","","","А","18","GB/T97.1-2002"
"27","1040004517","Болт","","","А","28","JB/T5783-2000"
"28","02561900302800000","Подвижный трубный хомут","","","А","2",""
"29","1040004499","Болт","","","А","1","JB/T5783-2000"
"30","00771500800001080","Стопорный штифт","","","А","1",""
"31","02562700311201020","Штифт","","","А","1",""
"32","00771400301201030","Подшипник, не требующий 
смазывания  Ⅱ","","","А","2",""
"33","02562700311201030","Штифт","","","А","1",""
"34","1040004496","Болт","","","А","1","JB/T5783-2016"
